event_type,support_limb,frame_100hz,source
heel_strike,L,1065,kinematic
heel_strike,R,1093,GRF
toe_off,L,1109,kinematic
heel_strike,L,1141,GRF
toe_off,R,1157,GRF
heel_strike,R,1193,GRF
toe_off,L,1209,GRF
heel_strike,L,1246,GRF
toe_off,R,1263,GRF
heel_strike,R,1303,GRF
toe_off,L,1316,GRF
heel_strike,L,1355,GRF
toe_off,R,1371,GRF
heel_strike,R,1413,GRF
toe_off,L,1428,GRF
heel_strike,L,1469,GRF
toe_off,R,1484,GRF
heel_strike,R,1525,GRF
toe_off,L,1539,GRF
heel_strike,L,1579,GRF
toe_off,R,1593,GRF
heel_strike,R,1634,GRF
toe_off,L,1648,GRF
heel_strike,L,1690,GRF
toe_off,R,1704,GRF
heel_strike,R,1746,GRF
toe_off,L,1760,GRF
heel_strike,L,1802,GRF
toe_off,R,1815,GRF
heel_strike,R,1856,GRF
toe_off,L,1869,GRF
heel_strike,L,1911,GRF
toe_off,R,1924,GRF
heel_strike,R,1966,GRF
toe_off,L,1980,GRF
heel_strike,L,2019,GRF
toe_off,R,2033,GRF
heel_strike,R,2076,GRF
toe_off,L,2089,GRF
heel_strike,L,2131,GRF
toe_off,R,2144,GRF
heel_strike,R,2185,GRF
toe_off,L,2199,GRF
heel_strike,L,2242,GRF
toe_off,R,2258,GRF
heel_strike,R,2297,GRF
toe_off,L,2310,GRF
heel_strike,L,2351,GRF
toe_off,R,2365,GRF
heel_strike,R,2406,GRF
toe_off,L,2420,GRF
heel_strike,L,2463,GRF
toe_off,R,2475,GRF
heel_strike,R,2518,GRF
toe_off,L,2532,GRF
heel_strike,L,2575,GRF
toe_off,R,2588,GRF
heel_strike,R,2630,GRF
toe_off,L,2643,GRF
heel_strike,L,2686,GRF
toe_off,R,2699,GRF
heel_strike,R,2741,GRF
toe_off,L,2755,GRF
heel_strike,L,2797,GRF
toe_off,R,2809,GRF
heel_strike,R,2850,GRF
toe_off,L,2863,GRF
heel_strike,L,2906,GRF
toe_off,R,2919,GRF
heel_strike,R,2960,GRF
toe_off,L,2974,GRF
heel_strike,L,3016,GRF
toe_off,R,3030,GRF
heel_strike,R,3071,GRF
toe_off,L,3083,GRF
heel_strike,L,3125,GRF
toe_off,R,3138,GRF
heel_strike,R,3179,GRF
toe_off,L,3192,GRF
heel_strike,L,3232,GRF
toe_off,R,3247,GRF
heel_strike,R,3287,GRF
toe_off,L,3300,GRF
heel_strike,L,3341,GRF
toe_off,R,3355,GRF
heel_strike,R,3394,GRF
toe_off,L,3406,GRF
heel_strike,L,3448,GRF
toe_off,R,3462,GRF
heel_strike,R,3502,GRF
toe_off,L,3514,GRF
heel_strike,L,3554,GRF
toe_off,R,3568,GRF
heel_strike,R,3609,GRF
toe_off,L,3623,GRF
heel_strike,L,3661,GRF
toe_off,R,3676,GRF
heel_strike,R,3714,GRF
toe_off,L,3726,GRF
heel_strike,L,3764,GRF
toe_off,R,3779,GRF
heel_strike,R,3817,GRF
toe_off,L,3829,GRF
heel_strike,L,3869,GRF
toe_off,R,3883,GRF
heel_strike,R,3924,GRF
toe_off,L,3938,GRF
heel_strike,L,3977,GRF
toe_off,R,3991,GRF
heel_strike,R,4031,GRF
toe_off,L,4044,GRF
heel_strike,L,4085,GRF
toe_off,R,4098,GRF
heel_strike,R,4136,GRF
toe_off,L,4150,GRF
heel_strike,L,4187,GRF
toe_off,R,4201,GRF
heel_strike,R,4239,GRF
toe_off,L,4253,GRF
heel_strike,L,4291,GRF
toe_off,R,4306,GRF
heel_strike,R,4343,GRF
toe_off,L,4357,GRF
heel_strike,L,4398,GRF
toe_off,R,4413,GRF
heel_strike,R,4451,GRF
toe_off,L,4464,GRF
heel_strike,L,4504,GRF
toe_off,R,4519,GRF
heel_strike,R,4558,GRF
toe_off,L,4572,kinematic
heel_strike,L,4609,GRF
toe_off,R,4623,GRF
heel_strike,R,4670,GRF
toe_off,L,4683,kinematic
heel_strike,L,4727,GRF
toe_off,R,4739,GRF
heel_strike,R,4786,GRF
toe_off,L,4799,GRF
heel_strike,L,4843,GRF
toe_off,R,4856,GRF
heel_strike,R,4896,GRF
toe_off,L,4910,GRF
heel_strike,L,4952,GRF
toe_off,R,4967,GRF
heel_strike,R,5008,GRF
toe_off,L,5020,GRF
heel_strike,L,5061,GRF
toe_off,R,5076,GRF
heel_strike,R,5115,GRF
toe_off,L,5129,GRF
heel_strike,L,5168,GRF
toe_off,R,5183,GRF
heel_strike,R,5225,GRF
toe_off,L,5238,GRF
heel_strike,L,5285,GRF
toe_off,R,5296,GRF
heel_strike,R,5340,GRF
toe_off,L,5352,GRF
heel_strike,L,5398,GRF
toe_off,R,5412,GRF
heel_strike,R,5454,GRF
toe_off,L,5477,GRF
heel_strike,L,5512,GRF
toe_off,R,5526,GRF
heel_strike,R,5567,GRF
toe_off,L,5580,GRF
heel_strike,L,5622,GRF
toe_off,R,5636,GRF
heel_strike,R,5680,GRF
toe_off,L,5701,GRF
heel_strike,L,5734,GRF
toe_off,R,5748,GRF
heel_strike,R,5787,GRF
toe_off,L,5801,GRF
heel_strike,L,5842,GRF
toe_off,R,5858,GRF
heel_strike,R,5899,GRF
toe_off,L,5911,GRF
heel_strike,L,5953,GRF
toe_off,R,5968,GRF
heel_strike,R,6009,GRF
toe_off,L,6022,GRF
heel_strike,L,6065,GRF
toe_off,R,6078,GRF
heel_strike,R,6120,GRF
toe_off,L,6133,GRF
heel_strike,L,6174,GRF
toe_off,R,6188,GRF
heel_strike,R,6234,GRF
toe_off,L,6247,GRF
heel_strike,L,6290,GRF
toe_off,R,6303,GRF
heel_strike,R,6346,GRF
toe_off,L,6359,GRF
heel_strike,L,6403,GRF
toe_off,R,6417,GRF
heel_strike,R,6460,GRF
toe_off,L,6473,GRF
heel_strike,L,6514,GRF
toe_off,R,6529,GRF
heel_strike,R,6570,GRF
toe_off,L,6584,GRF
heel_strike,L,6625,GRF
toe_off,R,6641,GRF
heel_strike,R,6681,GRF
toe_off,L,6694,GRF
heel_strike,L,6736,GRF
toe_off,R,6750,GRF
heel_strike,R,6792,GRF
toe_off,L,6805,GRF
heel_strike,L,6848,GRF
toe_off,R,6862,GRF
heel_strike,R,6903,GRF
toe_off,L,6916,GRF
heel_strike,L,6960,GRF
toe_off,R,6973,GRF
heel_strike,R,7015,GRF
toe_off,L,7029,GRF
heel_strike,L,7073,GRF
toe_off,R,7086,GRF
heel_strike,R,7129,GRF
toe_off,L,7141,GRF
heel_strike,L,7184,GRF
toe_off,R,7198,GRF
heel_strike,R,7239,GRF
toe_off,L,7253,GRF
heel_strike,L,7294,GRF
toe_off,R,7307,GRF
heel_strike,R,7348,GRF
toe_off,L,7363,GRF
heel_strike,L,7402,GRF
toe_off,R,7417,GRF
heel_strike,R,7457,GRF
toe_off,L,7472,GRF
heel_strike,L,7512,GRF
toe_off,R,7527,GRF
heel_strike,R,7567,GRF
toe_off,L,7581,GRF
heel_strike,L,7623,GRF
toe_off,R,7635,GRF
heel_strike,R,7678,GRF
toe_off,L,7691,GRF
heel_strike,L,7734,GRF
toe_off,R,7747,GRF
heel_strike,R,7791,GRF
toe_off,L,7804,GRF
heel_strike,L,7846,GRF
toe_off,R,7860,GRF
heel_strike,R,7900,GRF
toe_off,L,7914,GRF
heel_strike,L,7956,GRF
toe_off,R,7970,GRF
heel_strike,R,8011,GRF
toe_off,L,8024,GRF
heel_strike,L,8067,GRF
toe_off,R,8081,GRF
heel_strike,R,8122,GRF
toe_off,L,8135,GRF
heel_strike,L,8178,GRF
toe_off,R,8192,GRF
heel_strike,R,8235,GRF
toe_off,L,8248,GRF
heel_strike,L,8290,GRF
toe_off,R,8305,GRF
heel_strike,R,8346,GRF
toe_off,L,8360,GRF
heel_strike,L,8403,GRF
toe_off,R,8417,GRF
heel_strike,R,8459,GRF
toe_off,L,8472,GRF
heel_strike,L,8515,GRF
toe_off,R,8528,GRF
heel_strike,R,8570,GRF
toe_off,L,8583,GRF
heel_strike,L,8627,GRF
toe_off,R,8640,GRF
heel_strike,R,8681,GRF
toe_off,L,8694,GRF
heel_strike,L,8737,GRF
toe_off,R,8751,GRF
